timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/02 09:04:51.705, 38 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 124.70 W, 46
2026/04/02 09:04:52.706, 33 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 127.63 W, 46
2026/04/02 09:04:53.706, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 125.85 W, 47
2026/04/02 09:04:54.707, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 126.86 W, 47
2026/04/02 09:04:55.708, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 124.96 W, 47
2026/04/02 09:04:56.708, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 125.00 W, 47
2026/04/02 09:04:57.708, 33 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 124.63 W, 47
2026/04/02 09:04:58.709, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 124.70 W, 47
2026/04/02 09:04:59.709, 41 %, 29 %, 743 MiB, 44748 MiB, 46068 MiB, 121.49 W, 48
2026/04/02 09:05:00.710, 38 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 125.85 W, 48
2026/04/02 09:05:01.710, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 125.92 W, 48
2026/04/02 09:05:02.711, 35 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 129.61 W, 48
2026/04/02 09:05:03.711, 35 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 124.90 W, 48
2026/04/02 09:05:04.712, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 125.70 W, 49
2026/04/02 09:05:05.712, 38 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 127.82 W, 49
2026/04/02 09:05:06.712, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 128.90 W, 49
2026/04/02 09:05:07.713, 38 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 133.94 W, 49
2026/04/02 09:05:08.713, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 127.03 W, 49
2026/04/02 09:05:09.714, 38 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 131.57 W, 49
2026/04/02 09:05:10.714, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 124.31 W, 49
2026/04/02 09:05:11.715, 34 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 125.58 W, 49
2026/04/02 09:05:12.715, 39 %, 29 %, 743 MiB, 44748 MiB, 46068 MiB, 128.51 W, 50
2026/04/02 09:05:13.716, 35 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 127.28 W, 50
2026/04/02 09:05:14.716, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 124.39 W, 50
2026/04/02 09:05:15.717, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 125.94 W, 50
2026/04/02 09:05:16.717, 35 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 129.14 W, 50
2026/04/02 09:05:17.718, 40 %, 29 %, 743 MiB, 44748 MiB, 46068 MiB, 129.71 W, 50
2026/04/02 09:05:18.718, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 131.73 W, 51
2026/04/02 09:05:19.718, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 130.27 W, 51
2026/04/02 09:05:20.719, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 132.20 W, 51
2026/04/02 09:05:21.719, 35 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 129.68 W, 51
2026/04/02 09:05:22.720, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 131.04 W, 51
2026/04/02 09:05:23.720, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 130.15 W, 51
2026/04/02 09:05:24.720, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 125.19 W, 52
2026/04/02 09:05:25.721, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 128.00 W, 51
2026/04/02 09:05:26.721, 39 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 134.66 W, 52
2026/04/02 09:05:27.722, 35 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 130.84 W, 52
2026/04/02 09:05:28.723, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 135.13 W, 52
2026/04/02 09:05:29.723, 40 %, 29 %, 743 MiB, 44748 MiB, 46068 MiB, 130.86 W, 52
2026/04/02 09:05:30.723, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 133.27 W, 52
2026/04/02 09:05:31.724, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 126.16 W, 52
2026/04/02 09:05:32.724, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 133.39 W, 53
2026/04/02 09:05:33.725, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 131.77 W, 53
2026/04/02 09:05:34.725, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 130.99 W, 53
2026/04/02 09:05:35.726, 38 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 130.51 W, 53
2026/04/02 09:05:36.727, 35 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 135.10 W, 53
2026/04/02 09:05:37.727, 34 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 129.07 W, 53
2026/04/02 09:05:38.727, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 129.64 W, 53
2026/04/02 09:05:39.728, 32 %, 20 %, 743 MiB, 44748 MiB, 46068 MiB, 128.20 W, 53
2026/04/02 09:05:40.728, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 128.08 W, 53
2026/04/02 09:05:41.729, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 132.07 W, 53
2026/04/02 09:05:42.729, 34 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 131.15 W, 54
2026/04/02 09:05:43.730, 35 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 131.54 W, 54
2026/04/02 09:05:44.730, 39 %, 29 %, 743 MiB, 44748 MiB, 46068 MiB, 131.32 W, 54
2026/04/02 09:05:45.730, 39 %, 29 %, 743 MiB, 44748 MiB, 46068 MiB, 134.59 W, 54
2026/04/02 09:05:46.731, 40 %, 28 %, 743 MiB, 44748 MiB, 46068 MiB, 130.44 W, 54
2026/04/02 09:05:47.731, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 129.95 W, 54
2026/04/02 09:05:48.732, 37 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 130.94 W, 54
2026/04/02 09:05:49.732, 39 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 131.31 W, 54
2026/04/02 09:05:50.732, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 133.12 W, 54
2026/04/02 09:05:51.733, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 129.74 W, 55
2026/04/02 09:05:52.733, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 131.05 W, 55
2026/04/02 09:05:53.734, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 131.91 W, 55
2026/04/02 09:05:54.734, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 124.94 W, 55
2026/04/02 09:05:55.735, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 130.40 W, 55
2026/04/02 09:05:56.735, 35 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 129.32 W, 55
2026/04/02 09:05:57.735, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 130.32 W, 55
2026/04/02 09:05:58.736, 35 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 131.18 W, 55
2026/04/02 09:05:59.736, 37 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 127.81 W, 55
2026/04/02 09:06:00.737, 35 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 126.16 W, 55
2026/04/02 09:06:01.737, 40 %, 29 %, 743 MiB, 44748 MiB, 46068 MiB, 128.36 W, 55
2026/04/02 09:06:02.737, 34 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 133.07 W, 55
2026/04/02 09:06:03.738, 40 %, 29 %, 743 MiB, 44748 MiB, 46068 MiB, 134.71 W, 55
2026/04/02 09:06:04.738, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 134.74 W, 55
2026/04/02 09:06:05.739, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 124.57 W, 55
2026/04/02 09:06:06.739, 33 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 129.20 W, 56
2026/04/02 09:06:07.740, 34 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 128.30 W, 56
2026/04/02 09:06:08.740, 34 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 127.48 W, 56
2026/04/02 09:06:09.741, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 129.62 W, 56
2026/04/02 09:06:10.741, 35 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 125.79 W, 56
2026/04/02 09:06:11.742, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 128.37 W, 56
2026/04/02 09:06:12.742, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 125.07 W, 56
2026/04/02 09:06:13.743, 33 %, 21 %, 743 MiB, 44748 MiB, 46068 MiB, 129.33 W, 56
2026/04/02 09:06:14.743, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 130.73 W, 56
2026/04/02 09:06:15.744, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 130.10 W, 56
2026/04/02 09:06:16.744, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 133.74 W, 56
2026/04/02 09:06:17.745, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 133.40 W, 57
2026/04/02 09:06:18.745, 35 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 129.46 W, 57
2026/04/02 09:06:19.745, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 129.93 W, 57
2026/04/02 09:06:20.746, 39 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 129.85 W, 57
