 timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/02 18:14:45.394, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 96.51 W, 43
2026/04/02 18:14:46.395, 23 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 106.12 W, 44
2026/04/02 18:14:47.395, 22 %, 11 %, 653 MiB, 44838 MiB, 46068 MiB, 107.26 W, 44
2026/04/02 18:14:48.396, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 106.99 W, 44
2026/04/02 18:14:49.396, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 106.16 W, 44
2026/04/02 18:14:50.397, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 105.84 W, 44
2026/04/02 18:14:51.397, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 110.03 W, 44
2026/04/02 18:14:52.397, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 106.06 W, 44
2026/04/02 18:14:53.398, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 98.37 W, 44
2026/04/02 18:14:56.627, 0 %, 0 %, 653 MiB, 44838 MiB, 46068 MiB, 78.44 W, 43
2026/04/02 18:14:57.628, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 91.29 W, 44
2026/04/02 18:14:58.628, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 94.41 W, 45
2026/04/02 18:14:59.629, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 94.72 W, 45
2026/04/02 18:15:00.629, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 95.20 W, 45
2026/04/02 18:15:01.630, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 95.10 W, 45
2026/04/02 18:15:02.630, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 95.43 W, 45
2026/04/02 18:15:03.630, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 97.58 W, 45
2026/04/02 18:15:04.631, 23 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 100.82 W, 45
2026/04/02 18:15:05.632, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 104.91 W, 45
2026/04/02 18:15:06.632, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 104.58 W, 46
2026/04/02 18:15:07.633, 25 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 104.66 W, 46
2026/04/02 18:15:08.633, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 100.82 W, 46
2026/04/02 18:15:09.634, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 100.37 W, 46
2026/04/02 18:15:10.634, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 107.35 W, 46
2026/04/02 18:15:11.635, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 102.13 W, 46
2026/04/02 18:15:12.635, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 110.20 W, 46
2026/04/02 18:15:13.635, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 107.11 W, 46
2026/04/02 18:15:14.636, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 107.59 W, 46
2026/04/02 18:15:15.636, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 104.79 W, 47
2026/04/02 18:15:16.637, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 100.57 W, 47
2026/04/02 18:15:17.637, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 99.63 W, 47
2026/04/02 18:15:18.637, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 103.30 W, 47
2026/04/02 18:15:19.638, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 104.10 W, 47
2026/04/02 18:15:20.638, 21 %, 11 %, 653 MiB, 44838 MiB, 46068 MiB, 107.34 W, 47
2026/04/02 18:15:21.639, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 108.44 W, 47
2026/04/02 18:15:22.639, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 108.93 W, 47
2026/04/02 18:15:23.639, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 107.81 W, 47
2026/04/02 18:15:24.640, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 112.34 W, 47
2026/04/02 18:15:25.640, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 107.72 W, 47
2026/04/02 18:15:26.641, 25 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 108.67 W, 48
2026/04/02 18:15:27.641, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 111.19 W, 48
2026/04/02 18:15:28.641, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 106.11 W, 48
2026/04/02 18:15:29.642, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 97.39 W, 48
2026/04/02 18:15:30.642, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 106.12 W, 48
2026/04/02 18:15:31.642, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 111.87 W, 48
2026/04/02 18:15:32.643, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 111.23 W, 48
2026/04/02 18:15:33.643, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 108.76 W, 48
2026/04/02 18:15:34.643, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 98.92 W, 48
2026/04/02 18:15:35.644, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 98.69 W, 48
2026/04/02 18:15:36.644, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 98.91 W, 48
2026/04/02 18:15:37.644, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 104.36 W, 48
2026/04/02 18:15:38.645, 24 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 106.11 W, 48
2026/04/02 18:15:39.645, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 99.51 W, 49
2026/04/02 18:15:40.645, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 100.30 W, 49
2026/04/02 18:15:41.646, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 112.09 W, 49
2026/04/02 18:15:42.646, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 100.91 W, 49
2026/04/02 18:15:43.646, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 105.82 W, 49
2026/04/02 18:15:44.647, 24 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 106.11 W, 49
2026/04/02 18:15:45.647, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 97.69 W, 49
2026/04/02 18:15:46.647, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 104.94 W, 49
2026/04/02 18:15:47.648, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 107.01 W, 49
2026/04/02 18:15:48.648, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 102.65 W, 49
2026/04/02 18:15:49.649, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 97.61 W, 50
2026/04/02 18:15:50.649, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 97.92 W, 50
2026/04/02 18:15:51.650, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 101.64 W, 50
2026/04/02 18:15:52.650, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 98.85 W, 50
2026/04/02 18:15:53.651, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 101.74 W, 50
2026/04/02 18:15:54.651, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 109.66 W, 50
2026/04/02 18:15:55.651, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 111.89 W, 50
2026/04/02 18:15:56.652, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 110.30 W, 50
2026/04/02 18:15:57.652, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 109.51 W, 50
2026/04/02 18:15:58.652, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 114.64 W, 50
2026/04/02 18:15:59.653, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 106.44 W, 50
2026/04/02 18:16:00.653, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 107.38 W, 50
2026/04/02 18:16:01.653, 23 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 109.13 W, 50
2026/04/02 18:16:02.653, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 109.47 W, 50
2026/04/02 18:16:03.654, 25 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 110.94 W, 51
2026/04/02 18:16:04.654, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 112.65 W, 51
2026/04/02 18:16:05.654, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 108.82 W, 51
2026/04/02 18:16:06.655, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 109.53 W, 51
2026/04/02 18:16:07.655, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 113.38 W, 51
2026/04/02 18:16:08.655, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 109.79 W, 51
2026/04/02 18:16:09.656, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 110.81 W, 51
2026/04/02 18:16:10.656, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 112.76 W, 51
2026/04/02 18:16:11.656, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 110.52 W, 51
2026/04/02 18:16:12.656, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 110.32 W, 51
2026/04/02 18:16:13.657, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 109.21 W, 51
2026/04/02 18:16:14.657, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 102.36 W, 51
2026/04/02 18:16:15.657, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 110.77 W, 51
2026/04/02 18:16:16.658, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 114.35 W, 51
2026/04/02 18:16:17.658, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 107.97 W, 51
2026/04/02 18:16:18.658, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 101.21 W, 51
2026/04/02 18:16:19.659, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 102.61 W, 52
2026/04/02 18:16:20.659, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 108.38 W, 52
2026/04/02 18:16:21.659, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 112.25 W, 52
2026/04/02 18:16:22.660, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 105.97 W, 52
2026/04/02 18:16:23.660, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 106.70 W, 52
2026/04/02 18:16:24.660, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 107.01 W, 52
2026/04/02 18:16:25.661, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 106.04 W, 52
2026/04/02 18:16:26.661, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 100.54 W, 52
2026/04/02 18:16:27.661, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 107.17 W, 52
2026/04/02 18:16:28.662, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 102.33 W, 52
2026/04/02 18:16:29.662, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 98.43 W, 52
2026/04/02 18:16:30.662, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 105.48 W, 52
2026/04/02 18:16:31.663, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 113.68 W, 52
2026/04/02 18:16:32.663, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 107.67 W, 52
2026/04/02 18:16:33.664, 23 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 106.82 W, 52
2026/04/02 18:16:34.664, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 113.19 W, 53
2026/04/02 18:16:35.664, 24 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 111.16 W, 53
2026/04/02 18:16:36.665, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 112.63 W, 53
2026/04/02 18:16:37.665, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 115.02 W, 53
2026/04/02 18:16:38.666, 24 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 116.14 W, 53
2026/04/02 18:16:39.666, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 110.17 W, 53
2026/04/02 18:16:40.667, 25 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 107.91 W, 53
2026/04/02 18:16:41.667, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 108.25 W, 53
2026/04/02 18:16:42.667, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 104.16 W, 53
2026/04/02 18:16:43.668, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 110.32 W, 53
2026/04/02 18:16:44.668, 25 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 100.25 W, 53
